id,poj_input,poj_unicode,tailo_input,tailo_unicode,hoagi,abbreviations,noun_classifiers,reduplication,english_descriptions,page_number
244,am3-bat8,àm-ba̍t,am3-bat8,àm-ba̍t,秘密,"SV ",,,secret,
245,am3-boo5,àm-bô͘,am3-boo5,àm-bôo,陰謀,"V ",,,conspire,
246,am3-boo5,àm-bô͘,am3-boo5,àm-bôo,陰謀,"N ",,,conspiracy,
247,am3-bok8-bok8,àm-bo̍k-bo̍k,am3-bok8-bok8,àm-bo̍k-bo̍k,黑暗,"Svph ",,,very dark,
248,am3-bong-sa,àm-bong-sa,am3-bong-sa,àm-bong-sa,摸索,"V ",,,grope (in darkness),
249,am3-chenn7/ chinn7,àm-chēⁿ/ chīⁿ,am3-tsenn7/ tsinn7,àm-tsēnn/ tsīnn,暗中,"Smod, pmod ",,,secretly,
250,am3-choo7,àm-chō͘,am3-tsoo7,àm-tsōo,暗中幫助,"V ",,,secretly help,
251,am3-chong5,àm-chông,am3-tsong5,àm-tsông,暗藏,"V ",,,hide (sthg),
252,am3-gu2,àm-gú,am3-gu2,àm-gú,暗語,"N ",,,"secret language, code",
253,am3-gu2,àm-gú,am3-gu2,àm-gú,暗語,"N ",,,password,
254,am3-ho7,àm-hō,am3-ho7,àm-hō,暗號,"N ",,,secret sign,
255,am3-hoe-koan-kek,àm-hoe-koan-kek,am3-hue-kuan-kik,àm-hue-kuan-kik,黑翅山椒鳥,"N ",chiah,,"black-winged cuckoo-shrike, Coracina melaschistos avensis",
256,am3-hong5-lian2-ong-eng,àm-hông-lián-ong-eng,am3-hong5-lian2-ong-ing,àm-hông-lián-ong-ing,棕面鶯,"N ",chiah,,"Formosan yellow-bellied flycatcher warbler, Seicerus albogularis fulviacies",
257,am3-ke3,àm-kè,am3-ke3,àm-kè,暗計,"N ",,,secret plot,
258,am3-ki3,àm-kì,am3-ki3,àm-kì,默記,"V ",,,memorize,
259,am3-kong-chiau2,àm-kong-chiáu,am3-kong-tsiau2,àm-kong-tsiáu,貓頭鷹,"N ",,,owl,
260,am3-kong-chiau2,àm-kong-chiáu,am3-kong-tsiau2,àm-kong-tsiáu,夜貓子,N fig,,,person who stays up late,
261,am3-khang,àm-khang,am3-khang,àm-khang,暗溝,"N ",,,"dark and / or hidden tunnel, passageway, pipe, etc",
262,am3-kho3,àm-khò,am3-kho3,àm-khò,晚課,N RC,,,"night prayers, night study",
263,am3-liam7,àm-liām,am3-liam7,àm-liām,默記,"V ",,,memorize,
264,am3-liam7,àm-liām,am3-liam7,àm-liām,默記,"V ",,,repeat from memory,
265,am3-me5/mi5,àm-mê/mî,am3-me5/mi5,àm-mê/mî,夜晚,"Nt ",,,at night,
266,am3-pang5,àm-pâng,am3-pang5,àm-pâng,暗房,"N ",,,dimly lighted bedroom,
267,am3-png7,àm-pn̄g,am3-png7,àm-pn̄g,晚餐,"N ",,,"dinner, supper (evening meal, cf am3-tng3)",
268,am3-poo7,àm-pō͘,am3-poo7,àm-pōo,暗計,"N ",,,secret plot,
269,am3-sat,àm-sat,am3-sat,àm-sat,暗殺,"V ",,,assassinate,
270,am3-sat,àm-sat,am3-sat,àm-sat,暗殺,"N ",,,assassination,
271,am3-sek,àm-sek,am3-sik,àm-sik,暗室,"N ",,,(photographic) darkroom,
272,am3-si5,àm-sî,am3-si5,àm-sî,晚上,"Nt ",,,"night time, the evening",
273,am3-si7,àm-sī,am3-si7,àm-sī,暗示,"V, N ",,,hint,
274,am3-siong7,àm-siōng,am3-siong7,àm-siōng,背誦,"V ",,,recite,
275,am3-siong7,àm-siōng,am3-siong7,àm-siōng,背誦,"N ",,,recitation,
276,am3-siunn7,àm-siūⁿ,am3-siunn7,àm-siūnn,暗想,"V ",,,meditate silently,
277,am3-so2,àm-só,am3-so2,àm-só,暗鎖,"N ",,,hidden or secret lock,
278,am3-soan3,àm-soàn,am3-suan3,àm-suàn,暗算,"V ",,,plot in secret,
279,am3-soan3,àm-soàn,am3-suan3,àm-suàn,暗算,"N ",,,secret plot,
280,am3-ta,àm-ta,am3-ta,àm-ta,暗礁,"N ",,,submerged rock or reef,
281,am3-tng3,àm-tǹg,am3-tng3,àm-tǹg,晚飯,"N ",,,"dinner, supper (evening meal)",
282,am3-tham3,àm-thàm,am3-tham3,àm-thàm,暗探,"N ",ê,,detective,
283,am3-thau5-a2,àm-thâu-á,am3-thau5-a2,àm-thâu-á,傍晚,"Nt ",,,"dusk, nightfall",
284,am7,ām,am7,ām,繁茂,"SV ",,,dense and luxuriant,
285,am7,ām,am7,ām,豔,"SV ",,,"glamorous, luscious (woman)",
286,am7 (-a2-kun2),ām (-á-kún),am7 (-a2-kun2),ām (-á-kún),脖子,"N ",,,neck,
287,am7-boe5 (-a2),ām-bôe (-á),am7-bue5 (-a2),ām-buê (-á),蝌蚪,"N ",chiah,,"tadpole, polliwog",
288,am7-kui,ām-kui,am7-kui,ām-kui,膆囊,"N ",,,crop (of a bird),
289,am7-kun2,ām-kún,am7-kun2,ām-kún,脖子,"N ",,,neck,
290,am7-moe5/mui5-a2,ām-môe/mûi-á,am7-mue5/mui5-a2,ām-muê/muî-á,蝌蚪,"N ","bóe, chiah",,tadpole,
291,am7-nia2,ām-niá,am7-nia2,ām-niá,領子,"N ",ê,,collar,
292,am7-se-a2,ām-se-á,am7-se-a2,ām-se-á,涎布,"N ",niá,,bib,
293,am7-se5-tau7,ām-sê-tāu,am7-se5-tau7,ām-sê-tāu,頷垂豆,"N ",châng,,"Chinese apes-earring, Pithecolobium lucidum",
294,"An, an","An, an","An, an","An, an",," ",,,,
295,an,an,an,an,安置,"V ",,,place (an ancestral tablet) in position,
296,an,an,an,an,氨,N Chem,,,"ammonia, NH3",
297,an,an,an,an,鍍,"V ",,,"gild, plate (with metal), overlay (usually with gold)",
298,an-bin5,an-bîn,an-bin5,an-bîn,安眠,"V ",,,"sleep well, sleep peacefully",
299,an-bin5,an-bîn,an-bin5,an-bîn,安眠,"N ",,,pleasant sleep,
300,an-bin5,an-bîn,an-bin5,an-bîn,安眠,"I ",,,Good-night! (said to house guests on retiring),
301,an-bin5-ioh8,an-bîn-io̍h,an-bin5-ioh8,an-bîn-io̍h,安眠藥,"N ",lia̍p,,sleeping pill,
302,an-bu2,an-bú,an-bu2,an-bú,安撫,"V ",,,"calm (people), quieten (a crowd)",
303,an-bu2,an-bú,an-bu2,an-bú,安撫,"N ",,,calming or quietening (people),
304,an-cheng7,an-chēng,an-tsing7,an-tsīng,安靜,"SV ",,,"quiet, silent",
305,an-cheng7,an-chēng,an-tsing7,an-tsīng,安靜,"N ",,,"peace, quietness",
306,an-choan5,an-choân,an-tsuan5,an-tsuân,安全,"SV ",,,safe,
307,an-choan5,an-choân,an-tsuan5,an-tsuân,安全,"N ",,,security,
308,an-choan5-bo7,an-choân-bō,an-tsuan5-bo7,an-tsuân-bō,安全帽,"N ",téng,,safety helmet,
309,an-choan5-kam2,an-choân-kám,an-tsuan5-kam2,an-tsuân-kám,安全感,"N ",,,sense of security,
310,an-choan5-ki5,an-choân-kî,an-tsuan5-ki5,an-tsuân-kî,安全期,"N ",,,safe period for intercourse (rhythm method),
311,an-choan5-pin2-chiam,an-choân-pín-chiam,an-tsuan5-pin2-tsiam,an-tsuân-pín-tsiam,安全別針,"N ",ki,,safety pin,
312,an-choan5-toa3,an-choân-tòa,an-tsuan5-tua3,an-tsuân-tuà,安全帶,"N ",tiâu,,safety-belt,
313,an-chong3,an-chòng,an-tsong3,an-tsòng,安葬,"V ",,,bury,
314,an-chong3,an-chòng,an-tsong3,an-tsòng,安葬,"N ",,,burial,
315,an-chhah,an-chhah,an-tshah,an-tshah,安置,"V ",,,"assign (to a particular class or barracks, etc)",
316,an-ek8,an-e̍k,an-ik8,an-i̍k,安逸,"SV ",,,at ease (var an-iat8 more common in Taiwan),
317,an-hioh,an-hioh,an-hioh,an-hioh,安息(歇),"V, N ",,,"rest, repose",
318,An-hioh-jit8,An-hioh-ji̍t,An-hioh-jit8,An-hioh-ji̍t,安息日,Nt Bib,,,Sabbath Day,
319,An-hioh-ni5,An-hioh-nî,An-hioh-ni5,An-hioh-nî,安息年,Nt Bib,,,Jubilee Year,
320,an-hun7,an-hūn,an-hun7,an-hūn,安份,"VO ",,,be content with one's lot,
321,an-iann5,an-iâⁿ,an-iann5,an-iânn,紮營,"VO ",,,encamp,
322,an-iat8,an-ia̍t,an-iat8,an-ia̍t,安逸,"SV ",,,"at ease, prosperous",
323,an-jian5,an-jiân,an-jian5,an-jiân,安然,"Pmod ",,,peacefully,
324,an-ka-hui3,an-ka-hùi,an-ka-hui3,an-ka-huì,安家費,"N ",,,military family allowance,
325,an-ki-sng,an-ki-sng,an-ki-sng,an-ki-sng,胺基酸,N Biol,,,amino-acid,
326,an-ku,an-ku,an-ku,an-ku,安居,"V ",,,dwell in peace,
327,an-khong,an-khong,an-khong,an-khong,鮟鱇,N Ich,bé,,"fishing frog, Lophiomus setigerus",
328,an-leng5,an-lêng,an-ling5,an-lîng,安寧,"SV ",,,"quiet, peaceful",
329,an-leng5,an-lêng,an-ling5,an-lîng,安寧,"N ",,,"quiet, peace",
330,an-leng5 Mi5-sat,an-lêng Mî-sat,an-ling5 Mi5-sat,an-lîng Mî-sat,安靈彌撒,N RC,,,Requiem Mass,
331,an-lok8,an-lo̍k,an-lok8,an-lo̍k,安樂,"SV ",,,"comfortable, peaceful",
332,an-pai5,an-pâi,an-pai5,an-pâi,安排,"V ",,,"arrange, dispose",
333,an-pai5,an-pâi,an-pai5,an-pâi,安排,"N ",,,"arrangement, disposal",
334,an-peng5-hi5,an-pêng-hî,an-ping5-hi5,an-pîng-hî,蝨目魚,"N ",bé,,"milk-fish, white mullet, Chanos chanos",
335,an-sek-ni5,an-sek-nî,an-sik-ni5,an-sik-nî,安息年,N RC,,,"seventh year, year of rest",
336,an-sek-ni5,an-sek-nî,an-sik-ni5,an-sik-nî,安息年,N RC,,,year of Jubilee,
337,an-siat,an-siat,an-siat,an-siat,安設,"V ",,,set up,
338,an-sim,an-sim,an-sim,an-sim,安心,"SV ",,,"tranquil in spirit, peaceful, relaxed",
339,an-sin,an-sin,an-sin,an-sin,生活安定,"VO ",,,live in peace,
340,an-sin5,an-sîn,an-sin5,an-sîn,鎮定,"VO ",,,"rest the mind or spirit, relax",
341,an-sin5-ioh8,an-sîn-io̍h,an-sin5-ioh8,an-sîn-io̍h,鎮定劑,"N ",,,"narcotic, tranquillizer",
342,an-tah,an-tah,an-tah,an-tah,安排,"V ",,,arrange,
343,an-tah,an-tah,an-tah,an-tah,安排,"N ",,,arranging,
344,An-tek-liat8,An-tek-lia̍t,An-tik-liat8,An-tik-lia̍t,安德烈,Np Bib,,,Andrew,
345,an-teng7,an-tēng,an-ting7,an-tīng,安定,"V ",,,"secure, stabilize",
346,an-teng7,an-tēng,an-ting7,an-tīng,安定,"SV ",,,"secure, stable",
347,an-teng7,an-tēng,an-ting7,an-tīng,安定,"N ",,,"security, stability",
348,an-ti3,an-tì,an-ti3,an-tì,安置,"V ",,,"set in place or position, collocate, install, set (a person's remains) in state",
349,an-tiann7,an-tiāⁿ,an-tiann7,an-tiānn,安定,"V ",,,"secure, stabilize",
350,an-tiann7,an-tiāⁿ,an-tiann7,an-tiānn,安定,"SV ",,,"secure, stable",
351,an-tiann7,an-tiāⁿ,an-tiann7,an-tiānn,安定,"N ",,,"security, stability",
352,an-thai,an-thai,an-thai,an-thai,安胎,"VO ",,,prevent abortion (by magic or medicine),
353,an-ui3,an-uì,an-ui3,an-uì,安慰,"V ",,,"comfort, console",
354,an-ui3,an-uì,an-ui3,an-uì,安慰,"N ",,,"comfort, consolation",
355,An-ui3-chia2,An-uì-chiá,An-ui3-tsia2,An-uì-tsiá,安慰者,N Bib RC,,,"The Paraclete (John 14:16, cf Po2-hui7-su)",
356,an-un2,an-ún,an-un2,an-ún,安穩,"SV ",,,"safe, secure",
357,an2-chim2,án-chím,an2-tsim2,án-tsím,嬸母,"Na ",,,"aunt (father's younger brother's wife, cf a-chim2)",
358,an2-ni / ne / nih,án-ni / ne / nih,an2-ni / ne / nih,án-ni / ne / nih,這樣,"Pmod ",,,"thus, in this manner",
359,an2-ni / ne / nih,án-ni / ne / nih,an2-ni / ne / nih,án-ni / ne / nih,這樣,"Cd ",,,"then, in that case",
360,an2-ni / ne / nih,án-ni / ne / nih,an2-ni / ne / nih,án-ni / ne / nih,這樣,"Clsub ",,,"thus, so",
361,an2-ni-sinn,án-ni-siⁿ,an2-ni-sinn,án-ni-sinn,這樣子,"Cd ",,,"then, in that case",
362,an2-nia2,án-niá,an2-nia2,án-niá,媽媽,"Na ",,,mama,
363,an2-nia5,án-niâ,an2-nia5,án-niâ,娘,"Na ",,,mama,
364,an2-pa5,án-pâ,an2-pa5,án-pâ,爹,"Na ",,,daddy,
365,an2-pe7,án-pē,an2-pe7,án-pē,爹,"Na ",,,daddy,
366,an2-sun,án-sun,an2-sun,án-sun,孫子,"Na ",,,grandson,
367,an2-tia,án-tia,an2-tia,án-tia,爹,"Na ",,,daddy,
368,an3,àn,an3,àn,按,"V ",,,"plan to use (money, persons, etc)",
369,an3,àn,an3,àn,按,"CV ",,,according to,
370,an3,àn,an3,àn,按,"CV ",,,"by (a road, direction, etc)",
371,an3,àn,an3,àn,案,"N ",tiâu,,a judicial case,
372,an3-chai2-iunn7,àn-chái-iūⁿ,an3-tsai2-iunn7,àn-tsái-iūnn,如何,"Pmod ",,,how? in what way?,
373,an3-cheng5,àn-chêng,an3-tsing5,àn-tsîng,案情,"N ",,,circumstances of a lawsuit,
374,an3-chiau3,àn-chiàu,an3-tsiau3,àn-tsiàu,按照,"CV ",,,according to,
375,an3-choann2,àn-chóaⁿ,an3-tsuann2,àn-tsuánn,怎樣,"Pmod ",,,"how? (manner, means)",
376,an3-choann2,àn-chóaⁿ,an3-tsuann2,àn-tsuánn,為什麼,"Smod ",,,why? how come? (reason),
377,an3-choann2,àn-chóaⁿ,an3-tsuann2,àn-tsuánn,怎麼樣,"SV ",,,to what degree? how much? (extent),
378,an3-choann2,àn-chóaⁿ,an3-tsuann2,àn-tsuánn,怎麼辦,"Vsub ",,,"""do"" <I na7 bo5 lai5, li2 beh an3-choaN2: If he doesn't come, what will you do?>",
379,an3-choann2,àn-chóaⁿ,an3-tsuann2,àn-tsuánn,怎麼樣,"Clsub ",,,"<Goa2 khoaN3, i boe7 hiau2, Li2 siuN7, an3-choaN2: I don't think he can. What do you think?>",
380,an3-chhat-si,àn-chhat-si,an3-tshat-si,àn-tshat-si,按察使,"N ",ê,,provincial judge (arch),
381,an3-chhiu2,àn-chhiú,an3-tshiu2,àn-tshiú,按手,VO Xtn,,,"lay hands on, ordain",
382,an3-ha7,àn-hā,an3-ha7,àn-hā,擺下,"V ",,,set aside (for later consideration),
383,an3-kiann7,àn-kiāⁿ,an3-kiann7,àn-kiānn,案件,N hang7,,,law case,
384,an3-lip8,àn-li̍p,an3-lip8,àn-li̍p,任命(聖職),"V ",,,ordain,
385,an3-moo5,àn-mô͘,an3-moo5,àn-môo,按摩,"V ",,,massage,
386,an3-moo5-su,àn-mô͘-su,an3-moo5-su,àn-môo-su,按摩師,"N ",ê,,"masseur, masseuse",
387,an3-moo5-sut8,àn-mô͘-su̍t,an3-moo5-sut8,àn-môo-su̍t,按摩術,"N ",,,massage,
388,an3-nai7,àn-nāi,an3-nai7,àn-nāi,招待,"V ",,,"guide, accompany, entertain (a guest)",
389,an3-sng3,àn-sǹg,an3-sng3,àn-sǹg,打算,"V ",,,"calculate, reckon; plan, purpose",
390,an5,ân,an5,ân,緊,"SV ",,"ân-ân, ân-ân-ân, ân-tok-tok, ân-tòng-tòng","firm, fixed, tight",
391,an5-tan,ân-tan,an5-tan,ân-tan,週轉不靈,"SV ",,,hard up for cash,
392,an7,ān,an7,ān,限,"V ",,,promise (to meet obligations by a certain date),
393,an7-ki5,ān-kî,an7-ki5,ān-kî,限期,"VO ",,,set a deadline date,
394,an7-ki5,ān-kî,an7-ki5,ān-kî,限期,"N ",,,"limiting date, deadline",
395,"Ang, ang","Ang, ang","Ang, ang","Ang, ang",," ",,,,
396,ang,ang,ang,ang,丈夫,"N ",ê,,husband,
397,ang-a2,ang-á,ang-a2,ang-á,娃娃，玩具,"N ",sian,,"a doll, toy, figure",
398,ang-a2,ang-á,ang-a2,ang-á,圖畫,"N ",tiuⁿ,,picture,
399,ang-a2-boo2,ang-á-bó͘,ang-a2-boo2,ang-á-bóo,夫妻,"N ",,,husband and wife,
400,ang-a2-chheh,ang-á-chheh,ang-a2-tsheh,ang-á-tsheh,圖畫書,"N ",pún,,"picture book, picture story book",
401,ang-a2-mih8,ang-á-mi̍h,ang-a2-mih8,ang-á-mi̍h,玩具,"N ",,,toys,
402,ang-a2-too5,ang-á-tô͘,ang-a2-too5,ang-á-tôo,圖畫,"N ","pak, kńg",,large picture used for illustrative purposes,
403,ang-a2-thau5,ang-á-thâu,ang-a2-thau5,ang-á-thâu,郵票,"N ",tiuⁿ,,postage stamp,
404,ang-a2-thau5,ang-á-thâu,ang-a2-thau5,ang-á-thâu,少女的臉,"N ",ê,,(girl's) face,
405,ang-a2-thau5,ang-á-thâu,ang-a2-thau5,ang-á-thâu,木偶的臉,"N ",ê,,head of puppet,
406,ang-boo2,ang-bó͘,ang-boo2,ang-bóo,夫婦,"N ",,,husband and wife,
407,ang-sai3,ang-sài,ang-sai3,ang-sài,丈夫,"N ",ê,,husband,
408,ang2-lang2,áng-láng,ang2-lang2,áng-láng,乖戾,"SV ",,,"obstinate, ill-tempered, grumpy",
409,ang3,àng,ang3,àng,甕,"N ","ê, lia̍p",,jar,
410,ang3,àng,ang3,àng,聽不清,"SV ",,"àng-àng, àng-àng-àng","plugged (ears, i. e. eustachian tube), stuffy (nose) ",
411,ang3,àng,ang3,àng,聽不清,"SV ",,"àng-àng, àng-àng-àng",unclear (sound),
412,ang3-chhai3,àng-chhài,ang3-tshai3,àng-tshài,甕菜,N Bot,châng,,"a green vegetable of the morning-glory family, Ipomoea reptans",
413,ang5,âng,ang5,âng,紅,"SV ",,"âng-âng, âng-âng-âng, âng-chu-chu, âng-kì-kì, âng-kòng-kòng, âng-phà-phà","red, rosy, blushing",
414,ang5-bah-chheng5,âng-bah-chhêng,ang5-bah-tshing5,âng-bah-tshîng,雀榕,"N ",châng,,"large-leaved banyan, Ficus wrightiana",
415,ang5-bah-ki5-hi5,âng-bah-kî-hî,ang5-bah-ki5-hi5,âng-bah-kî-hî,紅肉旗魚,N Ich,bé,,either of two spear-fish of the genus Kajikia,
416,ang5-bah-siang-ke3,âng-bah-siang-kè,ang5-bah-siang-ke3,âng-bah-siang-kè,丫髻鮫,"N ",bé,,"hammerhead shark, Sphyrna oewini",
417,ang5-bah-teng-pan2,âng-bah-teng-pán,ang5-bah-ting-pan2,âng-bah-ting-pán,紅肉旗魚,"N ",bé,,"barred marlin, marlin spike fish, spear-fish, Kajikia mitsukurii",
418,ang5-bah-too7,âng-bah-tō͘,ang5-bah-too7,âng-bah-tōo,菱果石樺,"N ",châng,,"Luanta tanoak, Pasania randarandiensis",
419,ang5-bah-too7,âng-bah-tō͘,ang5-bah-too7,âng-bah-tōo,菱果石樺,"N ",châng,,"Three-cupule oak, Alishan tanoak, Pasania ternaticupula",
420,ang5-bak8-khong,âng-ba̍k-khong,ang5-bak8-khong,âng-ba̍k-khong,曳絲大眼鯛,"N ",bé,,"big-eye snapper, Priacanthus tayenus",
421,ang5-bak8-lian5,âng-ba̍k-liân,ang5-bak8-lian5,âng-ba̍k-liân,"大眼鯛           ","N ",bé,,"a kind of big-eyed fish, Priacanthus macracanthus",
422,ang5-bak8-lian5,âng-ba̍k-liân,ang5-bak8-lian5,âng-ba̍k-liân,"曵絲大眼鯛 ","N ",bé,,"big-eye snapper, Priacanthus tayenus",
423,ang5-bak8-lian5,âng-ba̍k-liân,ang5-bak8-lian5,âng-ba̍k-liân,紅目大眼鯛,"N ",bé,,Priacanthus boops,
424,ang5-bak8-loo5,âng-ba̍k-lô͘,ang5-bak8-loo5,âng-ba̍k-lôo,紅眼鱸,N Ich,bé,,"either of two sea-bass, Lates calcariger or Psammoperca waigiensis",
425,ang5-bak8-tai7,âng-ba̍k-tāi,ang5-bak8-tai7,âng-ba̍k-tāi,紅眼魚代,N Ich,bé,,"carp, Puntus semifasciolata or Puntus snyderi",
426,ang5-be2-a2-chhau2,âng-bé-á-chháu,ang5-be2-a2-tshau2,âng-bé-á-tsháu,紅尾草,"N ",châng,,Euphorbia thymifolia,
427,ang5-be2-chiau2,âng-bé-chiáu,ang5-be2-tsiau2,âng-bé-tsiáu,朱連雀,"N ",chiah,,"Japanese waxwing, Bombycilla jsponica",
428,ang5-be2-iah8-hoe,âng-bé-ia̍h-hoe,ang5-be2-iah8-hue,âng-bé-ia̍h-hue,紅尾蝶花,"N ",châng,,"red iris, Belamcanda chinensis",
429,ang5-be2-kan2,âng-bé-kán,ang5-be2-kan2,âng-bé-kán,紅尾鶇,N Orn,chiah,,"red-tailed thrush, Turdus naumanni naumanni",
430,ang5-be2-koan3,âng-bé-koàn,ang5-be2-kuan3,âng-bé-kuàn,紅尾熱帶島,"N ",chiah,,"Laysan red-tailed tropic bird, Phaëthon rubricaudus rothschildi",
431,ang5-be2-lo2,âng-bé-ló,ang5-be2-lo2,âng-bé-ló,紅瑪瑙,"N ",tè,,red carnelian,
432,ang5-be2-ong,âng-bé-ong,ang5-be2-ong,âng-bé-ong,紅尾鶲,N Orn,chiah,,"Ferruginous flycatcher, Muscicapa rufilata",
433,ang5-be2-pek-lo5,âng-bé-pek-lô,ang5-be2-pik-lo5,âng-bé-pik-lô,紅尾伯勞,N Orn,chiah,,"Philippine red-tailed shrike, Lanius cristatus lucionensis",
434,ang5-be2-tang,âng-bé-tang,ang5-be2-tang,âng-bé-tang,赤尾冬,N Ich,bè,,"any of several fish of the grunt family, genus Scolopsis",
435,ang5-bin7-mo5-chiong-kun,âng-bīn-mô-chiong-kun,ang5-bin7-mo5-tsiong-kun,âng-bīn-mô-tsiong-kun,銳葉紫珠,"N ",châng,,"Taiwan beauty-berry, narrow-leaved beauty-berry, Callicarpa pilosissima",
436,ang5-bo5-a2,âng-bô-á,ang5-bo5-a2,âng-bô-á,"紅帽子,行李夫","N ",ê,,"red-cap, porter",
437,ang5-bu5,âng-bû,ang5-bu5,âng-bû,赤巫鳥,N Orn,chiah,,"grey-headed bunting grunt, Emeriza fucata fucata",
438,ang5-chau,âng-chau,ang5-tsau,âng-tsau,松鯛,"N ",bé,,"black perch, black grunt, Lobotes surinamensis",
439,ang5-chau,âng-chau,ang5-tsau,âng-tsau,銀紋笛綢,"N ",bé,,"gray snapper, Lutjanus argentimaculatus",
440,ang5-cheng2,âng-chéng,ang5-tsing2,âng-tsíng,紅腫,"SV ",,,swollen and inflamed,
441,ang5-cheng2,âng-chéng,ang5-tsing2,âng-tsíng,紅腫,"N ",,,swelling and inflamation,
442,ang5-chi-a2,âng-chi-á,ang5-tsi-a2,âng-tsi-á,紅子珠,"N ",châng,,"officinal breynia, Breynia officinalis",
443,ang5-chi2-a2,âng-chí-á,ang5-tsi2-a2,âng-tsí-á,紅子仔,"N ",châng,,"Formosan viburnum, Viburnum luzonicum",
444,ang5-chi2-a2-chhai3,âng-chí-á-chhài,ang5-tsi2-a2-tshai3,âng-tsí-á-tshài,紅子仔菜,"N ",châng,,Solanum biflorum,
445,ang5-chim5,âng-chîm,ang5-tsim5,âng-tsîm,蟳,N Ich,chiah,,"serrated crab (female), Scylla serrata",
446,ang5-chio,âng-chio,ang5-tsio,âng-tsio,紅蕉,"N ","lo̍h, pî,  nge̍h",,"red banana, Musa cocinea",
447,ang5-cho2,âng-chó,ang5-tso2,âng-tsó,紅棗,"N ","chang, lia̍p",,"red jujube, Zizyphus vulgaris var, inermis",
448,ang5-cho5-hi5,âng-chô-hî,ang5-tso5-hi5,âng-tsô-hî,紅魚曹魚,N Ich,bé,,"surmullet, Pseudupeneus chrysopleuron",
449,ang5-chong,âng-chong,ang5-tsong,âng-tsong,赤鯮,N Ich,bé,,"red seabream, Dentex tumifrons",
450,ang5-chu,âng-chu,ang5-tsu,âng-tsu,"朱紅色           ","N ",,,"red complexion, healthy color",
451,ang5-chu,âng-chu,ang5-tsu,âng-tsu,紅墨的原料,"N ",,,material used to make a Chinese stamp pad,
452,ang5-chu(-a2),âng-chu(-á),ang5-tsu(-a2),âng-tsu(-á),紅仔珠,"N ",châng,,"officinal breynia, Breynia officinalis",
453,ang5-chu-bok8,âng-chu-bo̍k,ang5-tsu-bok8,âng-tsu-bo̍k,雞母珠,"N ",châng,,"jequirity bean, jequirity rosary pea, rosary  pea,  Abrus precatorius (poisonous)",
454,ang5-chun2,âng-chún,ang5-tsun2,âng-tsún,紅隼,"N ",chiah,,"dark kestral, Japanese kestral, Falco tinnuculus interstinctus",
455,ang5-chun2,âng-chún,ang5-tsun2,âng-tsún,紅隼,"N ",chiah,,"common kestral, European kestral, Falco tinnuculus tinnuculus",
456,ang5-chha5,âng-chhâ,ang5-tsha5,âng-tshâ,"台灣樹蘭      ","N ",châng,,"Formosan aglaia, Formosan orchid tree, Aglaia formosana",
457,ang5-chha5,âng-chhâ,ang5-tsha5,âng-tshâ,後皮香,"N ",châng,,Terstroemia gymnanthera,
458,ang5-chha5,âng-chhâ,ang5-tsha5,âng-tshâ,紅柴,"N ",châng,,"Luzon wendlandia, Wendlandia luzonensis",
459,ang5-chhai3,âng-chhài,ang5-tshai3,âng-tshài,"茄子               ","N ","chang, tiâu",,"egg plant, Solanum melongena",
460,ang5-chhai3,âng-chhài,ang5-tshai3,âng-tshài,紅菜,"N ",chang,,Gynura bicolor,
461,ang5-chhai3-tau7,âng-chhài-tāu,ang5-tshai3-tau7,âng-tshài-tāu,枝針葉豆工豆,"N ",châng,,"red string bean, Vigna vexillata",
462,ang5-chhai3-thau5,âng-chhài-thâu,ang5-tshai3-thau5,âng-tshài-thâu,胡蘿蔔,"N ",tiâu,,"carrot, Daucus carota var. sativa",
463,ang5-chhai3-thau5-a2,âng-chhài-thâu-á,ang5-tshai3-thau5-a2,âng-tshài-thâu-á,紅蘿蔔,"N ",lia̍p,,"radish, Raphanus sativus",
464,ang5-chhan5-o (-chhau2),âng-chhân-o (-chháu),ang5-tshan5-o (-tshau2),âng-tshân-o (-tsháu),"連子草           ","N ",châng,,Alternanthera sersilis,
465,ang5-chhan5-o (-chhau2),âng-chhân-o (-chháu),ang5-tshan5-o (-tshau2),âng-tshân-o (-tsháu),紅田烏草,"N ",châng,,Telanthera versicola,
466,ang5-chheng5-peh,âng-chhêng-peh,ang5-tshing5-peh,âng-tshîng-peh,華山松,"N ",châng,,"Taiwan armand pine, Pinus armandii var. masteriana",
467,ang5-chhi3-lek8-khiu,âng-chhì-le̍k-khiu,ang5-tshi3-lik8-khiu,âng-tshì-li̍k-khiu,台灣綠鳩,"N ",châng,,"Formosan green pigeon, Sphenocescus sieboldii sororius",
468,ang5-chhiok-hm5,âng-chhiok-hm̂,ang5-tshiok-hm5,âng-tshiok-hm̂,紅雀茅,"N ",châng,,"a kind of grass, Eragrostis unioloides",
469,ang5-chhiu-ko,âng-chhiu-ko,ang5-tshiu-ko,âng-tshiu-ko,"秋姑魚           ","N ",bé,,"red mullet, Upeneus bensasi",
470,ang5-chhiu-ko,âng-chhiu-ko,ang5-tshiu-ko,âng-tshiu-ko,"紫班海渄鯉 ","N ",bé,,"a kind of goat-fish, Pseudupeneus porphyreus",
471,ang5-chhiu-ko,âng-chhiu-ko,ang5-tshiu-ko,âng-tshiu-ko,紅鰽魚,"N ",bé,,"surmullet, Pseudupeneus chrysopleuron",
