id,poj_input,poj_other_input,poj_unicode,poj_other_unicode,tailo_input,tailo_other_input,tailo_unicode,tailo_other_unicode,hoagi,page_number
4076,Hoe7-sia7,Kong-si,Hōe-siā,Kong-si,Hue7-sia7,Kong-si,Huē-siā,Kong-si,公司,568
4077,Sia7,,Siā,,Sia7,,Siā,,射,568
4078,Sia7-chinn3,,Siā-chìⁿ,,Sia7-tsinn3,,Siā-tsìnn,,射矢,568
4079,Sia7-choe7,,Siā-chōe,,Sia7-tsue7,,Siā-tsuē,,謝罪,568
4080,Sia3-choe7,,Sià-chōe,,Sia3-tsue7,,Sià-tsuē,,赦罪,568
4081,Sia7-le2,,Siā-lé,,Sia7-le2,,Siā-lé,,謝禮,569
4082,Sia5-sin5,,Siâ-sîn,,Sia5-sin5,,Siâ-sîn,,邪神,569
4083,Sia5-kau3,,Siâ-kàu,,Sia5-kau3,,Siâ-kàu,,邪教,569
4084,Siann,,Siaⁿ,,Siann,,Siann,,聲、音,569
4085,Te7 it siann,,Tē it siaⁿ,,Te7 it siann,,Tē it siann,,第一聲,569
4086,Te7 peh siann,,Tē peh siaⁿ,,Te7 peh siann,,Tē peh siann,,第八聲,569
4087,Choan2 siann,Choan2 im,Choán siaⁿ,Choán im,Tsuan2 siann,Tsuan2 im,Tsuán siann,Tsuán im,轉音,569
4088,Siann2-hoe3,,Siáⁿ-hòe,,Siann2-hue3,,Siánn-huè,,什麼,570
4089,Siann2-lang5,,Siáⁿ-lâng,,Siann2-lang5,,Siánn-lâng,,誰,570
4090,Siann,,Siaⁿ,,Siann,,Siann,,聲,570
4091,Toa7 siann,,Tōa siaⁿ,,Tua7 siann,,Tuā siann,,大聲,570
4092,Se3 siann,,Sè siaⁿ,,Se3 siann,,Sè siann,,小聲,570
4093,Siann5,,Siâⁿ,,Siann5,,Siânn,,成、城,570
4094,Siann5,,Siâⁿ,,Siann5,,Siânn,,引誘,570
4095,Siah,,Siah,,Siah,,Siah,,削,571
4096,Siah ian5-pit,,Siah iân-pit,,Siah ian5-pit,,Siah iân-pit,,削鉛筆,571
4097,Siah-phoe5,,Siah-phôe,,Siah-phue5,,Siah-phuê,,削皮,571
4098,Siah,,Siah,,Siah,,Siah,,錫、白蠟、銲藥,571
4099,Eng7 siah liam5,,Ēng siah liâm,,Ing7 siah liam5,,Īng siah liâm,,以白蠟接合,571
4100,Liam5-siah--ê,Phah-siah--ê,Liâm-siah--ê,Phah-siah--ê,Liam5-siah--ê,Phah-siah--ê,Liâm-siah--ê,Phah-siah--ê,錫匠、馬口鐵匠,571
4101,Siah8-a2,,Sia̍h-á,,Siah8-a2,,Sia̍h-á,,勺子,571
4102,Siam2,,Siám,,Siam2,,Siám,,避、閃避,571
4103,Khah siam2 le3,,Khah siám lè,,Khah siam2 le3,,Khah siám lè,,走開、避開,571
